2022-12-08 13:35:41 - PHP Notice:  Undefined index: db_name in C:\xampp\htdocs\php_milwa_trading\system\engine\hmodel.php on line 12
2022-12-08 13:35:49 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:35:49 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:35:49 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:35:49 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:35:49 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:35:49 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:35:49 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:35:49 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:35:49 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:35:49 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:35:49 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:35:49 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:35:49 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:35:49 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:35:49 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:35:49 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:35:49 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:35:49 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:35:49 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:35:49 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:35:49 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:35:49 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:35:49 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:35:49 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:35:49 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:35:49 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:35:49 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:35:49 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:35:49 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:35:49 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:35:54 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\preset.tpl on line 52
2022-12-08 13:35:58 - PHP Notice:  Undefined index: case_id in C:\xampp\htdocs\php_milwa_trading\admin\controller\common\home.php on line 55
2022-12-08 13:35:58 - PHP Notice:  Undefined index: case_id in C:\xampp\htdocs\php_milwa_trading\admin\controller\common\home.php on line 56
2022-12-08 13:35:58 - PHP Notice:  Undefined variable: href_gl_mapping_account in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\column_left.tpl on line 66
2022-12-08 13:35:58 - PHP Notice:  Undefined index: gl_mapping_account in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\column_left.tpl on line 66
2022-12-08 13:35:58 - PHP Notice:  Undefined variable: href_tool_dashboard in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\column_left.tpl on line 229
2022-12-08 13:35:58 - PHP Notice:  Undefined variable: bank_receipts in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\home.tpl on line 258
2022-12-08 13:35:58 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\home.tpl on line 258
2022-12-08 13:36:01 - PHP Warning:  Declaration of ControllerSetupCustomer::validateDelete() should be compatible with HController::validateDelete($id = '') in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 433
2022-12-08 13:36:01 - PHP Notice:  Undefined variable: href_gl_mapping_account in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\column_left.tpl on line 66
2022-12-08 13:36:01 - PHP Notice:  Undefined index: gl_mapping_account in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\column_left.tpl on line 66
2022-12-08 13:36:01 - PHP Notice:  Undefined variable: href_tool_dashboard in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\column_left.tpl on line 229
2022-12-08 13:36:01 - PHP Notice:  Undefined index: class in C:\xampp\htdocs\php_milwa_trading\admin\view\template\setup\customer_list.tpl on line 19
2022-12-08 13:36:01 - PHP Notice:  Undefined index: class in C:\xampp\htdocs\php_milwa_trading\admin\view\template\setup\customer_list.tpl on line 19
2022-12-08 13:36:01 - PHP Notice:  Undefined index: class in C:\xampp\htdocs\php_milwa_trading\admin\view\template\setup\customer_list.tpl on line 19
2022-12-08 13:36:01 - PHP Notice:  Undefined variable: partner_category_id in C:\xampp\htdocs\php_milwa_trading\admin\view\template\setup\customer_list.tpl on line 46
2022-12-08 13:36:01 - PHP Notice:  Undefined variable: column_right in C:\xampp\htdocs\php_milwa_trading\admin\view\template\setup\customer_list.tpl on line 107
2022-12-08 13:36:01 - PHP Warning:  Declaration of ControllerSetupCustomer::validateDelete() should be compatible with HController::validateDelete($id = '') in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 433
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:01 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:01 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:02 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:02 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:02 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:02 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:02 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:02 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
2022-12-08 13:36:02 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:02 - PHP Notice:  Trying to access array offset on value of type null in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 200
2022-12-08 13:36:02 - PHP Notice:  Undefined index: lang in C:\xampp\htdocs\php_milwa_trading\admin\controller\setup\customer.php on line 207
